Id,Result,Aspect.Instrument.Name,Aspect.Name,Value
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%
%% Application: CENTRALINK
%% Version: 16.0.3
%% Table: ResultAspect
%% Exported on: 08/09/19 at 19:52:58
%% Exported by: batch
%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
124609,1448573,DMS_AdviaCentaur_3,DOSE,6.160
124610,1448578,DMS_AdviaCentaur_3,DOSE,546.390
124611,1448577,DMS_AdviaCentaur_3,DOSE,0.880
124612,1448610,DMS_AdviaCentaur_3,DOSE,0.002
124613,1448639,DMS_AdviaCentaur_3,DOSE,3.610
124614,1448644,DMS_AdviaCentaur_3,DOSE,36.950
124615,1448643,DMS_AdviaCentaur_3,DOSE,0.780
124616,1448712,DMS_AdviaCentaur_3,DOSE,3.060
124617,1448717,DMS_AdviaCentaur_3,DOSE,79.510
124618,1448716,DMS_AdviaCentaur_3,DOSE,0.370
124619,1448737,DMS_AdviaCentaur_3,DOSE,0.960
124620,1448742,DMS_AdviaCentaur_3,DOSE,7.040
124621,1448741,DMS_AdviaCentaur_3,DOSE,0.460
124627,1448772,DMS_AdviaCentaur_3,DOSE,2.334
124628,1448808,DMS_AdviaCentaur_3,DOSE,3.780
124629,1448813,DMS_AdviaCentaur_3,DOSE,178.890
124630,1448812,DMS_AdviaCentaur_3,DOSE,1.190
124631,1449179,DMS_AdviaCentaur_3,DOSE,2.090
124632,1449184,DMS_AdviaCentaur_3,DOSE,25.670
124633,1449183,DMS_AdviaCentaur_3,DOSE,0.990
124634,1449230,DMS_AdviaCentaur_3,DOSE,0.001
124635,1449400,DMS_AdviaCentaur_3,DOSE,0.318
124636,1449421,DMS_AdviaCentaur_3,DOSE,0.751
124637,1449441,DMS_AdviaCentaur_3,DOSE,4.210
124638,1449446,DMS_AdviaCentaur_3,DOSE,103.490
124639,1449445,DMS_AdviaCentaur_3,DOSE,0.650
124640,1449717,DMS_AdviaCentaur_3,DOSE,5.560
124641,1449722,DMS_AdviaCentaur_3,DOSE,105.450
124642,1449721,DMS_AdviaCentaur_3,DOSE,1.030
124652,1449980,DMS_AdviaCentaur_3,DOSE,0.049
124653,1450157,DMS_AdviaCentaur_3,DOSE,3.450
124655,1450162,DMS_AdviaCentaur_3,DOSE,231.680
124656,1448574,DMS_AdviaCentaur_3,DOSE,11.000
124657,1448576,DMS_AdviaCentaur_3,DOSE,36.210
124658,1450161,DMS_AdviaCentaur_3,DOSE,1.100
124659,1448640,DMS_AdviaCentaur_3,DOSE,5.200
124660,1448642,DMS_AdviaCentaur_3,DOSE,72.400
124661,1448713,DMS_AdviaCentaur_3,DOSE,6.000
124662,1448715,DMS_AdviaCentaur_3,DOSE,8.550
124663,1452063,DMS_AdviaCentaur_2,DOSE,0.013
124664,1450255,DMS_AdviaCentaur_3,DOSE,307.290
124665,1448738,DMS_AdviaCentaur_3,DOSE,16.900
124666,1450250,DMS_AdviaCentaur_3,DOSE,2.490
124667,1452214,DMS_AdviaCentaur_2,DOSE,1.230
124668,1452213,DMS_AdviaCentaur_2,DOSE,3.390
