Id,InstrumentFlag.Instrument.Name,InstrumentFlag.Code,Result
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%
%% Application: CENTRALINK
%% Version: 16.0.3
%% Table: ResultFlag
%% Exported on: 08/09/19 at 19:53:56
%% Exported by: batch
%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
32798,DMS_ChemistryXPT_1,s,1448824
32799,DMS_ChemistryXPT_1,S,1448824
32800,DMS_ChemistryXPT_1,s,1448820
32801,DMS_ChemistryXPT_1,S,1448820
32802,DMS_ChemistryXPT_1,s,1448816
32803,DMS_ChemistryXPT_1,S,1448816
32804,DMS_ChemistryXPT_1,s,1448821
32805,DMS_ChemistryXPT_1,S,1448821
32806,DMS_ChemistryXPT_1,s,1448817
32807,DMS_ChemistryXPT_1,S,1448817
32808,DMS_ChemistryXPT_1,s,1448825
32809,DMS_ChemistryXPT_1,S,1448825
32810,DMS_ChemistryXPT_1,s,1448822
32811,DMS_ChemistryXPT_1,S,1448822
32812,DMS_ChemistryXPT_1,s,1448818
32813,DMS_ChemistryXPT_1,S,1448818
32814,DMS_ChemistryXPT_1,s,1448823
32815,DMS_ChemistryXPT_1,S,1448823
32816,DMS_ChemistryXPT_1,s,1448819
32817,DMS_ChemistryXPT_1,S,1448819
32818,DMS_ChemistryXPT_1,s,1449069
32819,DMS_ChemistryXPT_1,S,1449069
32821,DMS_ChemistryXPT_2,j,1449108
32822,DMS_ChemistryXPT_3,K,1449662
32823,DMS_ChemistryXPT_1,>,1449684
32824,DMS_ChemistryXPT_1,> Conc Range,1449684
32825,DMS_ChemistryXPT_3,j,1450352
32828,DMS_ChemistryXPT_1,K,1450057
32831,DMS_ChemistryXPT_1,K,1450231
32836,DMS_ChemistryXPT_1,K,1450569
32837,DMS_ChemistryXPT_1,K,1450610
32840,DMS_ChemistryXPT_2,S,1452720
32841,DMS_ChemistryXPT_2,s,1452720
32842,DMS_ChemistryXPT_2,S,1452927
32843,DMS_ChemistryXPT_2,s,1452927
32844,DMS_ChemistryXPT_2,S,1452718
32845,DMS_ChemistryXPT_2,s,1452718
32846,DMS_ChemistryXPT_2,S,1452716
32847,DMS_ChemistryXPT_2,s,1452716
32848,DMS_ChemistryXPT_1,K,1450760
32849,DMS_ChemistryXPT_1,K,1452976
32850,DMS_ChemistryXPT_1,K,1450868
32851,DMS_ChemistryXPT_1,K,1451188
32852,DMS_ChemistryXPT_1,K,1451366
32853,DMS_ChemistryXPT_1,K,1451516
32854,DMS_ChemistryXPT_1,K,1451703
32855,DMS_ChemistryXPT_1,K,1452332
32857,DMS_Immulite2000_1,N,1450076
32858,DMS_ChemistryXPT_1,K,1452625
32859,DMS_ChemistryXPT_1,K,1453061
32860,DMS_ChemistryXPT_1,K,1451651
32861,DMS_AdviaCentaur_3,>,1450840
32862,DMS_ChemistryXPT_1,>,1453436
32863,DMS_ChemistryXPT_1,> Conc Range,1453436
32864,DMS_ChemistryXPT_1,K,1453506
32865,DMS_ChemistryXPT_1,K,1453608
32866,DMS_Immulite2000_1,N,1450970
32867,DMS_ChemistryXPT_1,K,1453626
