code,rid
s,1448824
S,1448824
s,1448820
S,1448820
s,1448816
S,1448816
s,1448821
S,1448821
s,1448817
S,1448817
s,1448825
S,1448825
s,1448822
S,1448822
s,1448818
S,1448818
s,1448823
S,1448823
s,1448819
S,1448819
s,1449069
S,1449069
j,1449108
K,1449662
>,1449684
> Conc Range,1449684
j,1450352
K,1450057
K,1450231
K,1450569
K,1450610
S,1452720
s,1452720
S,1452927
s,1452927
S,1452718
s,1452718
S,1452716
s,1452716
K,1450760
K,1452976
K,1450868
K,1451188
K,1451366
K,1451516
K,1451703
K,1452332
N,1450076
K,1452625
K,1453061
K,1451651
>,1450840
>,1453436
> Conc Range,1453436
K,1453506
K,1453608
N,1450970
K,1453626
>,1452633
>,1452638
K,1454216
N,1451248
<,1453358
N,1451549
N,1451550
N,1451551
N,1451552
j,1454785
<,1453442
j,1454903
<,1453441
N,1449010
N,1452464
N,1452514
<,1454068
<,1454067
>,1454415
N,1452694
>,1454589
<,1452696
N,1452697
N,1452698
K,1455630
N,1449419
N,1449420
N,1449422
N,1449586
<,1455230
<,1452746
N,1452895
N,1452896
<,1452897
N,1452898
N,1450077
j,1456600
K,1456394
K,1456488
K,1456892
N,1454827
N,1450971
N,1454828
<,1454829
N,1454830
K,1457331
<,1456537
N,1455087
<,1456536
N,1455089
N,1455090
N,1455091
<,1456565
<,1456564
N,1451249
<,1456632
N,1451548
N,1451553
N,1455742
>,1457419
N,1455887
>,1457011
>,1457012
>,1457403
N,1452388
N,1452465
N,1452515
N,1452695
N,1456402
<,1452699
>,1460033
<,1458276
<,1458275
<,1458484
<,1452894
N,1452899
<,1454207
>,1458805
<,1454257
<,1459853
< Conc Range,1459853
>,1459530
> Conc Range,1459530
N,1454602
>,1459649
N,1454826
<,1460159
< Conc Range,1460159
N,1454831
<,1459754
N,1455088
<,1455092
>,1456998
<,1455295
<,1455356
>,1459812
>,1460189
N,1455743
N,1455888
N,1459318
<,1459320
N,1459321
N,1459322
<,1456137
>,1460363
N,1459330
<,1456164
N,1459332
N,1459333
N,1459334
>,1461649
<,1456205
>,1460439
<,1456272
<,1460483
<,1460608
N,1457103
<,1461501
< Conc Range,1461501
N,1460118
N,1460119
N,1460131
>,1457843
N,1460132
<,1461185
<,1461184
<,1461503
<,1461502
<,1461593
>,1461616
<,1461615
<,1461683
<,1461763
N,1459319
<,1461762
N,1459323
N,1459331
<,1459335
<,1461908
>,1461912
>,1461913
<,1461935
<,1462099
< Conc Range,1462099
k,1462127
>,1461944
>,1461960
<,1461987
>,1461994
>,1461993
<,1462142
<,1462141
N,1460117
N,1460130
N,1461917
N,1461918
N,1461925
N,1461926
N,1461941
N,1461942
N,1461951
N,1461952
N,1461966
N,1461967
N,1461971
<,1461973
>,1462772
N,1461974
>,1462771
<,1463036
< Conc Range,1463036
N,1461975
<,1462798
<,1462797
<,1462955
N,1461916
N,1461924
N,1461940
N,1461950
N,1461965
N,1461972
N,1461976
N,1461985
<,1461999
<,1462089
<,1461986
N,1463155
N,1463156
N,1463158
N,1463159
<,1463152
<,1463153
N,1463154
N,1463157
<,1463160
K,1463961
<,1463539
>,1463582
<,1464829
< Conc Range,1464829
<,1464062
<,1464061
<,1464487
<,1464486
K,1466089
S,1467935
s,1467935
S,1467936
s,1467936
S,1467930
s,1467930
S,1467931
s,1467931
S,1467929
s,1467929
S,1467932
s,1467932
S,1467933
s,1467933
S,1467934
s,1467934
>,1465811
K,1466924
<,1466147
N,1464663
N,1464892
N,1465243
j,1468007
N,1465495
<,1467391
N,1465572
N,1465574
j,1468269
N,1465575
N,1465576
>,1468232
>,1468231
<,1468415
N,1463932
N,1463999
<,1468783
N,1467243
<,1467440
N,1464212
<,1469758
<,1469757
N,1464563
<,1470921
< Conc Range,1470921
N,1468766
N,1468788
N,1465244
N,1469045
N,1465496
N,1465573
N,1469252
<,1470574
<,1465577
<,1470573
N,1469930
>,1471925
>,1471924
<,1466383
N,1467244
N,1467495
<,1472564
<,1472995
< Conc Range,1472995
<,1472838
<,1472837
N,1468767
N,1472001
j,1473540
N,1468789
N,1472002
N,1469046
<,1469253
<,1473618
N,1469931
<,1473955
j,1474985
*,1475785
>,1464097
> Conc Range,1464097
